ORGANIZATION,CITY,STATE,COUNTRY,AWARDS,FUNDING,YEAR
FISHER BIOSERVICES CORPORATION,ROCKVILLE,MD,UNITED STATES,8,"$10,464,906",2009
FISK UNIVERSITY,NASHVILLE,TN,UNITED STATES,1,"$49,813",2009
FLACSO ARGENTINA,BUENOS AIRES,NA,ARGENTINA,1,"$235,634",2009
FLINDERS UNIVERSITY OF SOUTH AUSTRALIA,ADELAIDE,NA,AUSTRALIA,2,"$652,752",2009
FLORIDA AGRICULTURAL AND MECHANICAL UNIV,TALLAHASSEE,FL,UNITED STATES,3,"$3,477,661",2009
FLORIDA ASSN OF PEDIATRIC TUMOR PROG,TAMPA,FL,UNITED STATES,1,"$382,772",2009
FLORIDA ATLANTIC UNIVERSITY,BOCA RATON,FL,UNITED STATES,12,"$3,329,950",2009
FLORIDA INTERNATIONAL UNIVERSITY,MIAMI,FL,UNITED STATES,44,"$15,620,044",2009
FLORIDA STATE UNIVERSITY,TALLAHASSEE,FL,UNITED STATES,72,"$20,832,533",2009
"FLUIDITY SOFTWARE, INC.",SOMERVILLE,MA,UNITED STATES,3,"$300,563",2009
"FLUOROUS TECHNOLOGIES, INC.",PITTSBURGH,PA,UNITED STATES,1,"$716,474",2009
"FLUXION BIOSCIENCES, INC.",SOUTH SAN FRANCISCO,CA,UNITED STATES,2,"$1,133,555",2009
"FOCALCOOL, LLC",EAST WINDSOR,NJ,UNITED STATES,1,"$499,039",2009
"FOCUS SURGERY, INC.",INDIANAPOLIS,IN,UNITED STATES,1,"$357,671",2009
FONDAZONE CENT/SAN RAFFAELE/DEL MONTE,MILAN,NA,ITALY,2,"$472,203",2009
"FOOD FRIENDS, INC.",FORT COLLINS,CO,UNITED STATES,1,"$99,997",2009
FOODSOURCE LURE CORPORATION,BIRMINGHAM,AL,UNITED STATES,1,"$299,696",2009
FORDHAM UNIVERSITY,BRONX,NY,UNITED STATES,6,"$1,986,028",2009
"FORESIGHT SCIENCE AND TECHNOLOGY, INC.",PROVIDENCE,RI,UNITED STATES,1,"$200,000",2009
FORSYTH INSTITUTE,BOSTON,MA,UNITED STATES,16,"$8,184,327",2009
FOUNDATION FOR APPLIED MOLECULAR EVOLUTN,GAINESVILLE,FL,UNITED STATES,5,"$1,683,645",2009
FOUNDATION FOR BLOOD RESEARCH,SCARBOROUGH,ME,UNITED STATES,1,"$284,696",2009
"FOUR TIGERS, LLC",PARIS,KY,UNITED STATES,1,"$100,716",2009
FOX CHASE CANCER CENTER,PHILADELPHIA,PA,UNITED STATES,40,"$25,115,433",2009
FOX CHASE CANCER CENTER,PHILADELPHIA,PA,UNITED STATES,1,"$994,573",2009
"FOX CHASE CHEMICAL DIVERSITY CENTER, INC",DOYLESTOWN,PA,UNITED STATES,1,"$300,000",2009
"FOX LEARNING SYSTEMS, INC.",Pittsburgh,PA,UNITED STATES,1,"$403,662",2009
FRANKLIN W. OLIN COLLEGE OF ENGINEERING,NEEDHAM,MA,UNITED STATES,1,"$198,787",2009
FRED HUTCHINSON CANCER RESEARCH CENTER,SEATTLE,WA,UNITED STATES,8,"$19,452,913",2009
FRED HUTCHINSON CANCER RESEARCH CENTER,SEATTLE,WA,UNITED STATES,231,"$224,818,015",2009
"FREE AND CLEAR, INC.",SEATTLE,WA,UNITED STATES,2,"$345,140",2009
FRESH POND RESEARCH INSTITUTE,CAMBRIDGE,MA,UNITED STATES,1,"$75,710",2009
"FRIENDS RESEARCH INSTITUTE, INC.",BALTIMORE,MD,UNITED STATES,6,"$2,272,367",2009
"FRONT EDGE TECHNOLOGY, INC.",BALDWIN PARK,CA,UNITED STATES,1,"$99,505",2009
"FRONTIER SCI & TECHNOLOGY RSCH FDN, INC",BOSTON,MA,UNITED STATES,4,"$15,180,172",2009
"FRONTLINE HEALTHCARE SAFETY FDN, LTD",ATLANTA,GA,UNITED STATES,1,"$3,515,660",2009
FUDAN UNIVERSITY,SHANGHAI,NA,CHINA,3,"$253,962",2009
"FULL CIRCLE STUDIOS, LLC",BUFFALO,NY,UNITED STATES,1,"$96,158",2009
FUNDACAO OSWALDO CRUZ,RIO DE JANEIRO,NA,BRAZIL,1,"$4,557,836",2009
FUNDACION INCIENSA,NA,NA,NA,1,"$4,351,779",2009
FUNDACION INST DE INVESTIGACIONES BIOTEC,SAN MARTIN,NA,ARGENTINA,3,"$276,934",2009
FUNDACION INSTITUTO LELOIR,BUENOS AIRES,NA,ARGENTINA,1,"$85,400",2009
"FUTURE INSTRUMENTS, LLC",MAYFIELD VILLAGE,OH,UNITED STATES,1,"$487,218",2009
"GABRIEL INTERACTIVE, INC.",INDIANAPOLIS,IN,UNITED STATES,1,"$830,241",2009
"GALAXY BIOTECH, LLC",Sunnyvale,CA,UNITED STATES,1,"$122,226",2009
GALVESTON ISLAND COMMUNITY RES ADV COM,GALVESTON,TX,UNITED STATES,1,"$18,783",2009
"GAMMA MEDICA, INC.",NORTHRIDGE,CA,UNITED STATES,2,"$1,863,519",2009
"GATACA, LLC",NEWPORT,VA,UNITED STATES,1,"$149,950",2009
"GCFREE, INC.",Vista,CA,UNITED STATES,1,"$799,889",2009
"GEL-DEL TECHNOLOGIES, INC.",ST. PAUL,MN,UNITED STATES,1,"$1,124,655",2009
GENCIA CORPORATION,CHARLOTTESVILLE,VA,UNITED STATES,2,"$1,049,643",2009
GENE SECURITY NETWORK,Redwood City,CA,UNITED STATES,3,"$1,659,446",2009
"GENECOPOEIA, INC.",GERMANTOWN,MD,UNITED STATES,2,"$474,752",2009
"GENEGO, INC.",ST. JOSEPH,MI,UNITED STATES,1,"$148,350",2009
"GENERAL BIOTECHNOLOGY, LLC",INDIANAPOLIS,IN,UNITED STATES,2,"$635,815",2009
GENERAL ELECTRIC CO CORPORATE R&D CTR,NISKAYUNA,NY,UNITED STATES,5,"$4,257,958",2009
"GENERAL INNOVATIONS AND GOODS, INC.",COLUMBUS,OH,UNITED STATES,1,"$224,700",2009
"GENESEGUES, INC.",CHASKA,MN,UNITED STATES,1,"$203,015",2009
"GENETAG TECHNOLOGY, INC.",ATLANTA,GA,UNITED STATES,1,"$196,199",2009
"GENETIC ALLIANCE, INC.",WASHINGTON,DC,UNITED STATES,1,"$64,000",2009
GENETIC INFORMATION RESEARCH INSTITUTE,MOUNTAIN VIEW,CA,UNITED STATES,1,"$536,502",2009
GENEVA FOUNDATION,LAKEWOOD,WA,UNITED STATES,4,"$2,481,273",2009
"GENOMAS, INC.",HARTFORD,CT,UNITED STATES,3,"$1,628,949",2009
"GENOME EXPLORATION, INC.",MEMPHIS,TN,UNITED STATES,1,"$99,831",2009
GENOME INSTITUTE OF SINGAPORE,SINGAPORE,NA,SINGAPORE,2,"$721,867",2009
"GENOMICS USA, INC.",TUCSON,AZ,UNITED STATES,2,"$1,118,088",2009
"GENPHAR, INC.",MOUNT PLEASANT,SC,UNITED STATES,2,"$1,298,798",2009
"GENVEC, INC.",GAITHERSBURG,MD,UNITED STATES,1,"$3,243,977",2009
"GENVEC, INC.",GAITHERSBURG,MD,UNITED STATES,9,"$2,800,089",2009
GEORGE INSTITUTE CHINA,BEJING,NA,NA,1,"$1,206,859",2009
GEORGE MASON UNIVERSITY,FAIRFAX,VA,UNITED STATES,18,"$5,126,946",2009
GEORGE WASHINGTON UNIVERSITY,WASHINGTON,DC,UNITED STATES,52,"$66,321,540",2009
GEORGE WASHINGTON UNIVERSITY,WASHINGTON,DC,UNITED STATES,2,"$4,162,474",2009
GEORGETOWN UNIVERSITY,WASHINGTON,DC,UNITED STATES,2,"$1,508,877",2009
GEORGETOWN UNIVERSITY,WASHINGTON,DC,UNITED STATES,170,"$62,111,821",2009
GEORGIA HEALTH SCIENCES UNIV RES INSTIT,AUGUSTA,GA,UNITED STATES,118,"$43,210,092",2009
GEORGIA INSTITUTE OF TECHNOLOGY,ATLANTA,GA,UNITED STATES,52,"$22,855,990",2009
GEORGIA SOUTHERN UNIVERSITY,STATESBORO,GA,UNITED STATES,1,"$196,299",2009
GEORGIA STATE UNIVERSITY,ATLANTA,GA,UNITED STATES,33,"$7,776,582",2009
"GEOSPIZA, INC.",SEATTLE,WA,UNITED STATES,2,"$660,000",2009
"GEOVAX, INC.",Smyrna,GA,UNITED STATES,1,"$4,736,301",2009
GERMAN CANCER RESEARCH CENTER,HEIDELBERG,NA,GERMANY,2,"$656,916",2009
GERONTOLOGICAL SOCIETY OF AMERICA,WASHINGTON,DC,UNITED STATES,1,"$35,000",2009
GHENT UNIVERSITY,GHENT,NA,BELGIUM,1,"$107,576",2009
GHESKIO CENTER,PORT-AU-PRINCE,NA,HAITI,2,"$2,546,100",2009
"GINER, INC.",NEWTON,MA,UNITED STATES,2,"$1,643,273",2009
"GL PHARMACEUTICAL, INC.",SAN DIEGO,CA,UNITED STATES,1,"$149,800",2009
"GLC BIOTECHNOLOGY, INC.",SOLON,OH,UNITED STATES,1,"$892,755",2009
"GLEECO, LLC",TUCSON,AZ,UNITED STATES,1,"$99,991",2009
"GLIKNIK, INC.",BALTIMORE,MD,UNITED STATES,1,"$150,000",2009
GLOBAL HIV VACCINE ENTERPRISE,NEW YORK,NY,UNITED STATES,1,"$985,801",2009
GLOBAL LIFE TECHNOLOGIES CORPORATION,Chevy Chase,MD,UNITED STATES,0,"$163,876",2009
"GLOBAL VACCINES, INC.",RESEARCH TRIANGLE PARK,NC,UNITED STATES,1,"$1,175,233",2009
"GLOBAL VIRAL FORECASTING, INC.",SAN FRANCISCO,CA,UNITED STATES,1,"$754,346",2009
"GLOBALSTEM, INC.",ROCKVILLE,MD,UNITED STATES,0,"$82,345",2009
"GLOTECH, INC.",ROCKVILLE,MD,UNITED STATES,1,"$104,011",2009
"GLSYNTHESIS, INC.",WORCESTER,MA,UNITED STATES,3,"$2,167,087",2009
"GLYCOBIA, INC.",ITHACA,NY,UNITED STATES,3,"$398,191",2009
"GLYCOME TECHNOLOGIES, INC",EAST HAMPSTEAD,NH,UNITED STATES,1,"$120,000",2009
"GLYCOMIMETICS, INC",GAITHERSBURG,MD,UNITED STATES,1,"$190,722",2009
"GLYCOMIRA, LLC",SALT LAKE CITY,UT,UNITED STATES,2,"$289,800",2009
"GLYCOSAN BIOSYSTEMS, INC.",PARK CITY,UT,UNITED STATES,1,"$131,371",2009
"GLYCOSENSORS AND DIAGNOSTICS, LLC",ATHENS,GA,UNITED STATES,1,"$200,361",2009
"GLYCOSYN, INC.",Medford,MA,UNITED STATES,1,"$66,388",2009
"GLYSENS, INC.",SAN DIEGO,CA,UNITED STATES,1,"$998,705",2009
GORDON RESEARCH CONFERENCES,WEST KINGSTON,RI,UNITED STATES,88,"$1,261,763",2009
GOVERNORS STATE UNIVERSITY,UNIVERSITY PARK,IL,UNITED STATES,1,"$947,844",2009
GRADUATE COLLEGE OF UNION UNIVERSTY,SCHENECTADY,NY,UNITED STATES,1,"$232,800",2009
GRAMBLING STATE UNIVERSITY,GRAMBLING,LA,UNITED STATES,2,"$785,291",2009
"GRAMERCY RESEARCH GROUP, LLC",WINSTON SALEM,NC,UNITED STATES,1,"$921,629",2009
GRAND VALLEY STATE UNIVERSITY,GRAND RAPIDS,MI,UNITED STATES,1,"$195,134",2009
"GREAT LAKES PHARMACEUTICALS, INC.",Beachwood,OH,UNITED STATES,1,"$1,354,034",2009
GREAT LAKES SCIENCE CENTER,CLEVELAND,OH,UNITED STATES,1,"$235,445",2009
"GREEN TECHNOLOGIES, INC.",WEST FORK,AR,UNITED STATES,1,"$373,552",2009
GROUP HEALTH COOPERATIVE OF PUGET SOUND,SEATTLE,WA,UNITED STATES,1,"$1,000,000",2009
"GROVE INSTRUMENTS, INC.",Worcester,MA,UNITED STATES,3,"$1,189,186",2009
"GSL BIOTECH, LLC.",CHICAGO,IL,UNITED STATES,1,"$367,866",2009
"GT LIFE SCIENCES, INC.",SAN DIEGO,CA,UNITED STATES,2,"$804,267",2009
GUANG AN MEN HOSPITAL,BEIJING,NA,CHINA,1,"$32,000",2009
GUIDED THERAPEUTICS,NORCROSS,GA,UNITED STATES,2,"$1,189,504",2009
"GUILD ASSOCIATES, INC.",DUBLIN,OH,UNITED STATES,2,"$505,092",2009
GULF MARINE INSTITUTE OF TECHNOLOGY,GULF BREEZE,FL,UNITED STATES,0,"$229,324",2009
"GWATHMEY, INC.",CAMBRIDGE,MA,UNITED STATES,1,"$279,113",2009
"GWATHMEY, INC.",CAMBRIDGE,MA,UNITED STATES,1,"$1,475,189",2009
GYNECOLOGIC ONCOLOGY GROUP,CROFTON,MD,UNITED STATES,3,"$15,650,870",2009
"G-ZERO THERAPEUTICS, INC.",CHAPEL HILL,NC,UNITED STATES,1,"$344,800",2009
H. LEE MOFFITT CANCER CTR & RES INST,TAMPA,FL,UNITED STATES,79,"$34,656,744",2009
"HABSEL, INC.",CAMBRIDGE,MA,UNITED STATES,1,"$99,671",2009
HACKENSACK UNIVERSITY MEDICAL CENTER,HACKENSACK,NJ,UNITED STATES,6,"$1,825,225",2009
HAGEDORN RESEARCH INSTITUTE,GENTOFTE,NA,DENMARK,1,"$1,091,946",2009
HAMLINE UNIVERSITY,ST. PAUL,MN,UNITED STATES,1,"$41,345",2009
HAMPTON UNIVERSITY,HAMPTON,VA,UNITED STATES,2,"$335,383",2009
HARBOR-UCLA RESEARCH & EDUC INST,TORRANCE,CA,UNITED STATES,34,"$16,734,547",2009
HARBOR-UCLA RESEARCH & EDUC INST,TORRANCE,CA,UNITED STATES,1,"$100,198",2009
"HARLAN LABORATORIES, INC.",INDIANAPOLIS,IN,UNITED STATES,2,"$1,498,609",2009
"HARMONIA HOLDINGS GROUP, LLC",BLACKSBURG,VA,UNITED STATES,1,"$199,256",2009
HARRINGTON SOFTWARE ASSOCIATES,WARRENTON,VA,UNITED STATES,2,"$632,703",2009
HARTFORD HOSPITAL,HARTFORD,CT,UNITED STATES,8,"$3,181,581",2009
"HARVARD BIOSCIENCE, INC.",HOLLISTON,MA,UNITED STATES,1,"$362,776",2009
"HARVARD PILGRIM HEALTH CARE, INC.",BOSTON,MA,UNITED STATES,13,"$5,879,804",2009
HARVARD UNIVERSITY,CAMBRIDGE,MA,UNITED STATES,1,"$575,057",2009
HARVARD UNIVERSITY,CAMBRIDGE,MA,UNITED STATES,131,"$55,898,523",2009
HARVARD UNIVERSITY (MEDICAL SCHOOL),BOSTON,MA,UNITED STATES,371,"$196,778,164",2009
HARVARD UNIVERSITY (SCH OF PUBLIC HLTH),BOSTON,MA,UNITED STATES,166,"$110,793,241",2009
HARVEY MUDD COLLEGE,CLAREMONT,CA,UNITED STATES,1,"$192,900",2009
HASKELL INDIAN NATIONS UNIVERSITY,LAWRENCE,KS,UNITED STATES,1,"$426,388",2009
"HASKINS LABORATORIES, INC.",NEW HAVEN,CT,UNITED STATES,10,"$4,381,280",2009
HAUPTMAN-WOODWARD MEDICAL RESEARCH INST,BUFFALO,NY,UNITED STATES,5,"$4,433,744",2009
HAVERFORD COLLEGE,HAVERFORD,PA,UNITED STATES,2,"$397,997",2009
"HAWAII BIOTECH, INC.",AIEA,HI,UNITED STATES,1,"$994,040",2009
HAWAII PACIFIC UNIVERSITY,HONOLULU,HI,UNITED STATES,1,"$161,161",2009
HAYMARKET CENTER,CHICAGO,IL,UNITED STATES,1,"$25,000",2009
HC MATERIALS CORPORATION,BOLINGBROOK,IL,UNITED STATES,1,"$95,621",2009
"HD TECHNOLOGIES, INC.",BURR RIDGE,IL,UNITED STATES,1,"$362,271",2009
HEALIONICS CORPORATION,REDMOND,WA,UNITED STATES,1,"$116,418",2009
HEALTH CARE INFORMATION SYSTEMS,SOLANA BEACH,CA,UNITED STATES,1,"$50,000",2009
HEALTH PARTNERS RESEARCH FOUNDATION,MINNEAPOLIS,MN,UNITED STATES,11,"$5,029,952",2009
"HEALTH RESEARCH, INC.",MENANDS,NY,UNITED STATES,2,"$2,625,273",2009
"HEALTHCARE INTERACTIVE, INC.",Edina,MN,UNITED STATES,2,"$743,837",2009
"HEALTHCARE TECHNOLOGY SYSTEMS, LLC",MADISON,WI,UNITED STATES,1,"$439,076",2009
"HEALTHSIM, INC.",New York,NY,UNITED STATES,0,"$21,935",2009
"HEALTHSPAN SOLUTIONS, LLC",LITTLE ROCK,AR,UNITED STATES,2,"$200,799",2009
HEALTHY AFRICAN AMERICAN FAMILIES II,LOS ANGELES,CA,UNITED STATES,1,"$5,254",2009
"HEART IMAGING TECHNOLOGIES, LLC",DURHAM,NC,UNITED STATES,1,"$578,185",2009
HEART OF AMERICA INDIAN CENTER,KANSAS CITY,MO,UNITED STATES,1,"$13,550",2009
"HEARTHSTONE ALZHEIMER CARE, LTD",WOBURN,MA,UNITED STATES,2,"$300,388",2009
HEBREW HOME OF GREATER WASHINGTON,ROCKVILLE,MD,UNITED STATES,1,"$344,333",2009
HEBREW REHABILITATION CENTER FOR AGED,BOSTON,MA,UNITED STATES,16,"$6,403,735",2009
HEBREW UNIVERSITY OF JERUSALEM,JERUSALEM,NA,ISRAEL,7,"$1,342,031",2009
HEKTOEN INSTITUTE FOR MEDICAL RESEARCH,CHICAGO,IL,UNITED STATES,5,"$4,882,244",2009
HELEN HAYES HOSPITAL,Menands,NY,UNITED STATES,1,"$634,136",2009
HELFGOTT RESEARCH INSTITUTE,PORTLAND,OR,UNITED STATES,1,"$213,507",2009
HEMATOLOGY-ONCOLOGY ASSOCIATES/CTL NY,EAST SYRACUSE,NY,UNITED STATES,1,"$615,881",2009
"HEMCON, INC.",PORTLAND,OR,UNITED STATES,1,"$226,185",2009
HENRY FORD HEALTH SYSTEM,DETROIT,MI,UNITED STATES,39,"$16,483,028",2009
HENRY FORD HEALTH SYSTEM,DETROIT,MI,UNITED STATES,1,"$1,776,862",2009
HENRY M. JACKSON FDN FOR THE ADV MIL/MED,ROCKVILLE,MD,UNITED STATES,3,"$11,964,402",2009
HENRY M. JACKSON FDN FOR THE ADV MIL/MED,ROCKVILLE,MD,UNITED STATES,35,"$24,564,476",2009
HEPATITIS B FOUNDATION,DOYLESTOWN,PA,UNITED STATES,1,"$22,000",2009
"HEPATOSYS, INC.",CORNELIUS,NC,UNITED STATES,1,"$633,477",2009
HERBERT H. LEHMAN COLLEGE,NEW YORK,NY,UNITED STATES,7,"$1,369,739",2009
"HERMES, LLC",Wilmington,NC,UNITED STATES,1,"$271,204",2009
"HIDRADENITIS SUPPURATIVA FOUNDATION, INC",Valley Center,CA,UNITED STATES,1,"$15,000",2009
"HIGH THROUGHPUT GENOMICS, INC.",TUCSON,AZ,UNITED STATES,2,"$740,594",2009
"HIGHLAND INSTRUMENTS, INC.",CAMBRIDGE,MA,UNITED STATES,1,"$201,508",2009
HILL GROUP,BETHESDA,MD,UNITED STATES,1,"$955,975",2009
HIRSCH SCIENTIFIC,PACIFICA,CA,UNITED STATES,1,"$281,710",2009
"HIV-NAT, THE THAI RED CROSS AIDS RCH CTR",BANGKOK,NA,THAILAND,2,"$728,014",2009
HOBART AND WILLIAM SMITH COLLEGES,GENEVA,NY,UNITED STATES,1,"$197,648",2009
HOOD COLLEGE,FREDERICK,MD,UNITED STATES,1,"$232,500",2009
HOPE PHARMACEUTICALS,SCOTTSDALE,AZ,UNITED STATES,1,"$100,000",2009
HOSPITAL DISTRICT OF SOUTHWEST FINLAND,TURKU,NA,FINLAND,1,"$1,080,000",2009
HOSPITAL FOR SICK CHLDRN (TORONTO),TORONTO,ON,CANADA,11,"$2,639,168",2009
HOSPITAL FOR SPECIAL SURGERY,NEW YORK,NY,UNITED STATES,25,"$9,520,891",2009
HOUGH EAR INSTITUTE,OKLAHOMA CITY,OK,UNITED STATES,1,"$172,633",2009
HOUSE EAR INSTITUTE,LOS ANGELES,CA,UNITED STATES,18,"$6,226,721",2009
HOUSEY PHARMACEUTICAL RESEARCH LAB,SOUTHFIELD,MI,UNITED STATES,1,"$149,616",2009
HOUSTON ACADEMY OF MED-TEXAS MED CTR LIB,HOUSTON,TX,UNITED STATES,1,"$1,770,549",2009
HOWARD BROWN HEALTH CENTER,CHICAGO,IL,UNITED STATES,1,"$3,988,665",2009
HOWARD UNIVERSITY,WASHINGTON,DC,UNITED STATES,21,"$13,411,092",2009
HOWARD UNIVERSITY,WASHINGTON,DC,UNITED STATES,1,"$29,444",2009
HRIDAY,NEW DELHI,NA,INDIA,1,"$262,000",2009
HUDSON-ALPHA INSTITUTE FOR BIOTECHNOLOGY,HUNTSVILLE,AL,UNITED STATES,1,"$3,985,643",2009
HUGO W. MOSER RES INST KENNEDY KRIEGER,BALTIMORE,MD,UNITED STATES,38,"$15,639,415",2009
HUMAN BIOMOLECULAR RESEARCH INSTITUTE,SAN DIEGO,CA,UNITED STATES,2,"$1,059,228",2009
HUMAN SCIENCES RESEARCH COUNCIL,PRETORIA,NA,SOUTH AFRICA,1,"$54,000",2009
HUMANETICS CORPORATION,EDEN PRAIRIE,MN,UNITED STATES,1,"$300,000",2009
HUMBOLDT STATE UNIVERSITY,ARCATA,CA,UNITED STATES,1,"$209,795",2009
"HUMMINGBIRD SCIENTIFIC, LLC",Olympia,WA,UNITED STATES,3,"$824,751",2009
HUNGARIAN ACADEMY/SCIS/INSTI/EXPER MED,BUDAPEST,NA,HUNGARY,1,"$32,486",2009
HUNTER COLLEGE,NEW YORK,NY,UNITED STATES,35,"$13,771,162",2009
HUNTINGTON MEDICAL RESEARCH INSTITUTES,PASADENA,CA,UNITED STATES,7,"$2,195,525",2009
"IBET, INC.",COLUMBUS,OH,UNITED STATES,2,"$726,355",2009
"IBIS BIOSCIENCES, INC.",CARLSBAD,CA,UNITED STATES,3,"$1,083,865",2009
IBM THOMAS J. WATSON RESEARCH CENTER,YORKTOWN HEIGHTS,NY,UNITED STATES,3,"$1,055,917",2009
ICELANDIC HEART ASSOCIATION,REYKJAVIC,NA,NA,1,"$4,296,629",2009
"ICHOR MEDICAL SYSTEMS, INC.",SAN DIEGO,CA,UNITED STATES,2,"$642,712",2009
ICOGENEX CORPORATION,SEATTLE,WA,UNITED STATES,1,"$361,935",2009
"ICONIC HEALTH, LLC",ST. LOUIS,MO,UNITED STATES,1,"$99,510",2009
"ID FISH TECHNOLOGY, INC.",SANTA CLARA,CA,UNITED STATES,3,"$2,115,074",2009
IDAHO STATE UNIVERSITY,POCATELLO,ID,UNITED STATES,3,"$410,679",2009
IDAHO TECHNOLOGY,SALT LAKE CITY,UT,UNITED STATES,5,"$4,415,497",2009
"IDEAS, INC.",KIRTLAND,OH,UNITED STATES,2,"$715,966",2009
"IDX LABS, LLC",CHARLOTTESVILLE,VA,UNITED STATES,1,"$405,066",2009
"IGE THERAPEUTICS, INC.",SAN DIEGO,CA,UNITED STATES,2,"$701,647",2009
"IGI TECHNOLOGIES, INC.",ELKRIDGE,MD,UNITED STATES,1,"$99,978",2009
IIT RESEARCH INSTITUTE,CHICAGO,IL,UNITED STATES,1,"$374,940",2009
IIT RESEARCH INSTITUTE,CHICAGO,IL,UNITED STATES,3,"$2,378,717",2009
IKONA MEDICAL CORPORATION,Marina del Rey,CA,UNITED STATES,1,"$554,063",2009
ILLINOIS COLLEGE OF OPTOMETRY,CHICAGO,IL,UNITED STATES,1,"$170,786",2009
ILLINOIS INSTITUTE OF TECHNOLOGY,CHICAGO,IL,UNITED STATES,12,"$4,519,143",2009
ILLINOIS STATE UNIVERSITY,NORMAL,IL,UNITED STATES,4,"$824,631",2009
"ILLUMINA, INC.",SAN DIEGO,CA,UNITED STATES,1,"$1,684,296",2009
"IMAGINAB, INC.",Inglewood,CA,UNITED STATES,1,"$199,363",2009
"IMAGINARIUM, INC.",ANCHORAGE,AK,UNITED STATES,1,"$256,421",2009
IMAGINATION SOFTWARE CORPORATION,BUFFALO,NY,UNITED STATES,1,"$99,706",2009
IMALUX CORPORATION,CLEVELAND,OH,UNITED STATES,1,"$862,166",2009
"IMMIX TECHNOLOGY, INC.",MC LEAN,VA,UNITED STATES,1,"$39,616",2009
"IMMPORT THERAPEUTICS, INC.",IRVINE,CA,UNITED STATES,2,"$1,294,009",2009
"IMMUNETICS, INC.",BOSTON,MA,UNITED STATES,3,"$899,858",2009
"IMMUNOCHEMISTRY TECHNOLOGIES, LLC",BLOOMINGTON,MN,UNITED STATES,2,"$898,262",2009
"IMMUNOMEDICS, INC.",MORRIS PLAINS,NJ,UNITED STATES,6,"$2,515,680",2009
"IMMUNOTOPE, INC.",DOYLESTOWN,PA,UNITED STATES,1,"$517,164",2009
IMMURX LLC,LEBANON,NH,UNITED STATES,2,"$629,936",2009
"IMPACT BIOLABS, LLC",COLUMBIA,MO,UNITED STATES,3,"$299,650",2009
"IMPEL NEUROPHARMA, INC.",NORMANDY PARK,WA,UNITED STATES,1,"$249,356",2009
IMPERIAL COLLEGE LONDON,LONDON,NA,UNITED KINGDOM,2,"$262,123",2009
IMPERIAL COLLEGE LONDON,LONDON,NA,NA,1,"$1,705,085",2009
IMQUEST BIOSCIENCES,FREDERICK,MD,UNITED STATES,5,"$2,383,831",2009
"IMRICOR MEDICAL SYSTEMS, INC.",Burnsville,MN,UNITED STATES,1,"$1,250",2009
"INANOVATE, INC.",RESEARCH TRIANGLE PARK,NC,UNITED STATES,1,"$199,156",2009
"INBIOS INTERNATIONAL, INC.",SEATTLE,WA,UNITED STATES,1,"$530,883",2009
"INCOGEN, INC.",WILLIAMSBURG,VA,UNITED STATES,1,"$742,050",2009
"INDEPENDENT LIVING RESOURCES, INC.",DURHAM,NC,UNITED STATES,2,"$662,875",2009
"INDEPENDENT SCHOLAR -- ABIR-AM, PG",BELMONT,MA,UNITED STATES,1,"$50,000",2009
INDEPENDENT SCHOOL DISTRICT #535,ROCHESTER,MN,UNITED STATES,1,"$25,000",2009
INDEPTHLEARNING,ANN ARBOR,MI,UNITED STATES,1,"$256,499",2009
"INDEVR, INC.",BOULDER,CO,UNITED STATES,3,"$1,962,946",2009
"INDIAN DISPUTE RESOLUTION SERVICES, INC.",SACRAMENTO,CA,UNITED STATES,1,"$31,278",2009
INDIANA STATE UNIVERSITY,TERRE HAUTE,IN,UNITED STATES,1,"$153,063",2009
INDIANA UNIVERSITY,BLOOMINGTON,IN,UNITED STATES,1,"$780,841",2009
INDIANA UNIVERSITY BLOOMINGTON,BLOOMINGTON,IN,UNITED STATES,107,"$28,652,644",2009
INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,INDIANAPOLIS,IN,UNITED STATES,322,"$116,610,212",2009
"INDIVIDUAL AWARD- - KISACKY, JEANNE",ITHACA,NY,UNITED STATES,1,"$47,275",2009
"INDIVIDUAL AWARD--COLTHAM, DEBORAH",WESTERHAM HILL,NA,NA,1,"$3,296",2009
"INDIVIDUAL AWARD--PHANEUF, MATTHEW",ASHLAND,MA,UNITED STATES,1,"$738,779",2009
INDOOR BIOTECHNOLOGIES,CHARLOTTESVILLE,VA,UNITED STATES,1,"$351,750",2009
INDUSTRAIL SCIENCE & TECHNOLOGY NETWORK,YORK,PA,UNITED STATES,1,"$200,019",2009
INFECTIOUS DISEASE RESEARCH INSTITUTE,SEATTLE,WA,UNITED STATES,1,"$2,219,451",2009
INFECTIOUS DISEASE RESEARCH INSTITUTE,SEATTLE,WA,UNITED STATES,2,"$1,975,057",2009
INFECTIOUS DISEASES INSTITUTE,KAMPALA,NA,UGANDA,1,"$410,885",2009
"INFINITE BIOMEDICAL TECHNOLOGIES, LLC",BALTIMORE,MD,UNITED STATES,3,"$1,889,834",2009
"INFLAME THERAPEUTICS, INC.",HOUSTON,TX,UNITED STATES,1,"$531,512",2009
"INFLEXXION, INC.",NEWTON,MA,UNITED STATES,6,"$2,046,840",2009
"INFORMATION IN PLACE, INC.",BLOOMINGTON,IN,UNITED STATES,1,"$100,000",2009
"INFORMATION MANAGEMENT SERVICES, INC.",SILVER SPRING,MD,UNITED STATES,1,"$737,718",2009
